BRF Values
UA Working NIST 10" Spectralon as reference for LOFT 632nm Aeroglaze test
Measurements taken on Jun 04 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	630.79nm
  0.000	  0.000	 45.000	180.000	1.020880
 10.000	  0.000	  0.000	  0.000	1.077762
 10.000	  0.000	 10.000	180.000	1.072688
 30.000	  0.000	  0.000	  0.000	1.051750
 30.000	  0.000	 30.000	180.000	1.062821
 50.000	  0.000	  0.000	  0.000	1.008234
 50.000	  0.000	 50.000	180.000	1.116645
 70.000	  0.000	  0.000	  0.000	0.924867
 70.000	  0.000	 70.000	180.000	1.683892
  0.000	  0.000	 45.000	180.000	1.020970
